case_id,path,candidate,N,q,rep,slice_index,t_release_med_us,t_gemm_start_med_us,t_gemm_end_med_us,t_gemm_duration_med_us
case056_d1_C0_DEFAULT_N512_q2_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,1,0,7469.4,7474.9,8045.1,585.2
case056_d1_C0_DEFAULT_N512_q2_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,1,1,8127.3,8132.9,8691.9,572.1
case057_d1_C0_DEFAULT_N512_q2_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,2,0,7469.6,7475.1,8053.6,588.2
case057_d1_C0_DEFAULT_N512_q2_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,2,1,8129.3,8134.9,8697.2,571.6
case058_d1_C0_DEFAULT_N512_q2_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,3,0,7466.5,7472.0,8037.3,586.0
case058_d1_C0_DEFAULT_N512_q2_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,3,1,8114.0,8120.0,8680.6,574.4
case059_d1_C0_DEFAULT_N512_q2_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,4,0,7466.1,7471.7,8043.4,581.0
case059_d1_C0_DEFAULT_N512_q2_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,4,1,8120.9,8126.4,8685.2,574.1
case060_d1_C0_DEFAULT_N512_q2_rep5,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,5,0,7467.2,7472.6,8043.5,583.7
case060_d1_C0_DEFAULT_N512_q2_rep5,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,2,5,1,8134.8,8140.4,8695.8,574.3
case061_comm_C0_DEFAULT_N512_q4_rep1,COMM_ONLY,C0_DEFAULT,512,4,1,0,1025.1,0.0,0.0,0.0
case061_comm_C0_DEFAULT_N512_q4_rep1,COMM_ONLY,C0_DEFAULT,512,4,1,1,2038.7,0.0,0.0,0.0
case061_comm_C0_DEFAULT_N512_q4_rep1,COMM_ONLY,C0_DEFAULT,512,4,1,2,3052.7,0.0,0.0,0.0
case061_comm_C0_DEFAULT_N512_q4_rep1,COMM_ONLY,C0_DEFAULT,512,4,1,3,4066.5,0.0,0.0,0.0
case062_comm_C0_DEFAULT_N512_q4_rep2,COMM_ONLY,C0_DEFAULT,512,4,2,0,1025.1,0.0,0.0,0.0
case062_comm_C0_DEFAULT_N512_q4_rep2,COMM_ONLY,C0_DEFAULT,512,4,2,1,2039.9,0.0,0.0,0.0
case062_comm_C0_DEFAULT_N512_q4_rep2,COMM_ONLY,C0_DEFAULT,512,4,2,2,3054.4,0.0,0.0,0.0
case062_comm_C0_DEFAULT_N512_q4_rep2,COMM_ONLY,C0_DEFAULT,512,4,2,3,4069.4,0.0,0.0,0.0
case063_comm_C0_DEFAULT_N512_q4_rep3,COMM_ONLY,C0_DEFAULT,512,4,3,0,1025.5,0.0,0.0,0.0
case063_comm_C0_DEFAULT_N512_q4_rep3,COMM_ONLY,C0_DEFAULT,512,4,3,1,2040.3,0.0,0.0,0.0
case063_comm_C0_DEFAULT_N512_q4_rep3,COMM_ONLY,C0_DEFAULT,512,4,3,2,3054.2,0.0,0.0,0.0
case063_comm_C0_DEFAULT_N512_q4_rep3,COMM_ONLY,C0_DEFAULT,512,4,3,3,4068.1,0.0,0.0,0.0
case064_comm_C0_DEFAULT_N512_q4_rep4,COMM_ONLY,C0_DEFAULT,512,4,4,0,1025.4,0.0,0.0,0.0
case064_comm_C0_DEFAULT_N512_q4_rep4,COMM_ONLY,C0_DEFAULT,512,4,4,1,2039.9,0.0,0.0,0.0
case064_comm_C0_DEFAULT_N512_q4_rep4,COMM_ONLY,C0_DEFAULT,512,4,4,2,3052.9,0.0,0.0,0.0
case064_comm_C0_DEFAULT_N512_q4_rep4,COMM_ONLY,C0_DEFAULT,512,4,4,3,4067.3,0.0,0.0,0.0
case065_comm_C0_DEFAULT_N512_q4_rep5,COMM_ONLY,C0_DEFAULT,512,4,5,0,1021.9,0.0,0.0,0.0
case065_comm_C0_DEFAULT_N512_q4_rep5,COMM_ONLY,C0_DEFAULT,512,4,5,1,2036.8,0.0,0.0,0.0
case065_comm_C0_DEFAULT_N512_q4_rep5,COMM_ONLY,C0_DEFAULT,512,4,5,2,3050.5,0.0,0.0,0.0
case065_comm_C0_DEFAULT_N512_q4_rep5,COMM_ONLY,C0_DEFAULT,512,4,5,3,4063.2,0.0,0.0,0.0
case066_comm_C2_RING_SIMPLE_CH8_N512_q4_rep1,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,1,0,1009.7,0.0,0.0,0.0
case066_comm_C2_RING_SIMPLE_CH8_N512_q4_rep1,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,1,1,2002.5,0.0,0.0,0.0
case066_comm_C2_RING_SIMPLE_CH8_N512_q4_rep1,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,1,2,2995.8,0.0,0.0,0.0
case066_comm_C2_RING_SIMPLE_CH8_N512_q4_rep1,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,1,3,3987.4,0.0,0.0,0.0
case067_comm_C2_RING_SIMPLE_CH8_N512_q4_rep2,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,2,0,1001.3,0.0,0.0,0.0
case067_comm_C2_RING_SIMPLE_CH8_N512_q4_rep2,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,2,1,1992.5,0.0,0.0,0.0
case067_comm_C2_RING_SIMPLE_CH8_N512_q4_rep2,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,2,2,2983.1,0.0,0.0,0.0
case067_comm_C2_RING_SIMPLE_CH8_N512_q4_rep2,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,2,3,3974.3,0.0,0.0,0.0
case068_comm_C2_RING_SIMPLE_CH8_N512_q4_rep3,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,3,0,1008.3,0.0,0.0,0.0
case068_comm_C2_RING_SIMPLE_CH8_N512_q4_rep3,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,3,1,1998.7,0.0,0.0,0.0
case068_comm_C2_RING_SIMPLE_CH8_N512_q4_rep3,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,3,2,2988.9,0.0,0.0,0.0
case068_comm_C2_RING_SIMPLE_CH8_N512_q4_rep3,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,3,3,3980.1,0.0,0.0,0.0
case069_comm_C2_RING_SIMPLE_CH8_N512_q4_rep4,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,4,0,1004.5,0.0,0.0,0.0
case069_comm_C2_RING_SIMPLE_CH8_N512_q4_rep4,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,4,1,1995.7,0.0,0.0,0.0
case069_comm_C2_RING_SIMPLE_CH8_N512_q4_rep4,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,4,2,2986.0,0.0,0.0,0.0
case069_comm_C2_RING_SIMPLE_CH8_N512_q4_rep4,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,4,3,3976.7,0.0,0.0,0.0
case070_comm_C2_RING_SIMPLE_CH8_N512_q4_rep5,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,5,0,1005.2,0.0,0.0,0.0
case070_comm_C2_RING_SIMPLE_CH8_N512_q4_rep5,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,5,1,1996.6,0.0,0.0,0.0
case070_comm_C2_RING_SIMPLE_CH8_N512_q4_rep5,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,5,2,2988.8,0.0,0.0,0.0
case070_comm_C2_RING_SIMPLE_CH8_N512_q4_rep5,COMM_ONLY,C2_RING_SIMPLE_CH8,512,4,5,3,3980.9,0.0,0.0,0.0
case071_gemm_C0_DEFAULT_N512_q4_rep1,GEMM_ONLY,C0_DEFAULT,512,4,1,0,0.0,23.7,305.4,283.1
case071_gemm_C0_DEFAULT_N512_q4_rep1,GEMM_ONLY,C0_DEFAULT,512,4,1,1,0.0,311.0,593.0,285.0
case071_gemm_C0_DEFAULT_N512_q4_rep1,GEMM_ONLY,C0_DEFAULT,512,4,1,2,0.0,598.5,866.5,280.5
case071_gemm_C0_DEFAULT_N512_q4_rep1,GEMM_ONLY,C0_DEFAULT,512,4,1,3,0.0,872.1,1149.9,285.7
case072_gemm_C0_DEFAULT_N512_q4_rep2,GEMM_ONLY,C0_DEFAULT,512,4,2,0,0.0,25.3,314.2,290.5
case072_gemm_C0_DEFAULT_N512_q4_rep2,GEMM_ONLY,C0_DEFAULT,512,4,2,1,0.0,319.8,606.2,295.5
case072_gemm_C0_DEFAULT_N512_q4_rep2,GEMM_ONLY,C0_DEFAULT,512,4,2,2,0.0,611.7,890.6,287.7
case072_gemm_C0_DEFAULT_N512_q4_rep2,GEMM_ONLY,C0_DEFAULT,512,4,2,3,0.0,896.1,1180.7,294.4
case073_gemm_C0_DEFAULT_N512_q4_rep3,GEMM_ONLY,C0_DEFAULT,512,4,3,0,0.0,23.0,310.9,290.3
case073_gemm_C0_DEFAULT_N512_q4_rep3,GEMM_ONLY,C0_DEFAULT,512,4,3,1,0.0,316.3,599.7,290.5
case073_gemm_C0_DEFAULT_N512_q4_rep3,GEMM_ONLY,C0_DEFAULT,512,4,3,2,0.0,605.3,880.5,285.9
case073_gemm_C0_DEFAULT_N512_q4_rep3,GEMM_ONLY,C0_DEFAULT,512,4,3,3,0.0,886.0,1164.8,288.8
case074_gemm_C0_DEFAULT_N512_q4_rep4,GEMM_ONLY,C0_DEFAULT,512,4,4,0,0.0,23.2,307.0,284.8
case074_gemm_C0_DEFAULT_N512_q4_rep4,GEMM_ONLY,C0_DEFAULT,512,4,4,1,0.0,312.6,592.8,290.5
case074_gemm_C0_DEFAULT_N512_q4_rep4,GEMM_ONLY,C0_DEFAULT,512,4,4,2,0.0,598.3,873.6,280.8
case074_gemm_C0_DEFAULT_N512_q4_rep4,GEMM_ONLY,C0_DEFAULT,512,4,4,3,0.0,879.1,1154.1,284.9
case075_gemm_C0_DEFAULT_N512_q4_rep5,GEMM_ONLY,C0_DEFAULT,512,4,5,0,0.0,24.5,303.7,281.0
case075_gemm_C0_DEFAULT_N512_q4_rep5,GEMM_ONLY,C0_DEFAULT,512,4,5,1,0.0,309.3,586.4,286.0
case075_gemm_C0_DEFAULT_N512_q4_rep5,GEMM_ONLY,C0_DEFAULT,512,4,5,2,0.0,591.8,857.0,281.3
case075_gemm_C0_DEFAULT_N512_q4_rep5,GEMM_ONLY,C0_DEFAULT,512,4,5,3,0.0,862.5,1140.3,283.2
case076_r0_C0_DEFAULT_N512_q4_rep1,R0_FULL_SERIAL,C0_DEFAULT,512,4,1,0,4054.7,4070.9,5094.6,1026.2
case077_r0_C0_DEFAULT_N512_q4_rep2,R0_FULL_SERIAL,C0_DEFAULT,512,4,2,0,4052.8,4069.0,5095.3,1026.7
case078_r0_C0_DEFAULT_N512_q4_rep3,R0_FULL_SERIAL,C0_DEFAULT,512,4,3,0,4052.8,4069.1,5094.0,1026.2
case079_r0_C0_DEFAULT_N512_q4_rep4,R0_FULL_SERIAL,C0_DEFAULT,512,4,4,0,4052.7,4068.6,5095.2,1027.0
case080_r0_C0_DEFAULT_N512_q4_rep5,R0_FULL_SERIAL,C0_DEFAULT,512,4,5,0,4051.6,4067.8,5089.3,1025.8
case081_rs_C0_DEFAULT_N512_q4_rep1,RS_SLICE_SERIAL,C0_DEFAULT,512,4,1,0,1060.0,1070.0,1351.0,285.3
case081_rs_C0_DEFAULT_N512_q4_rep1,RS_SLICE_SERIAL,C0_DEFAULT,512,4,1,1,2393.1,2403.8,2679.1,285.9
case081_rs_C0_DEFAULT_N512_q4_rep1,RS_SLICE_SERIAL,C0_DEFAULT,512,4,1,2,3720.8,3730.7,4005.9,285.2
case081_rs_C0_DEFAULT_N512_q4_rep1,RS_SLICE_SERIAL,C0_DEFAULT,512,4,1,3,5046.4,5056.4,5336.1,290.6
case082_rs_C0_DEFAULT_N512_q4_rep2,RS_SLICE_SERIAL,C0_DEFAULT,512,4,2,0,1064.1,1073.9,1345.3,280.5
case082_rs_C0_DEFAULT_N512_q4_rep2,RS_SLICE_SERIAL,C0_DEFAULT,512,4,2,1,2392.8,2403.2,2678.7,284.9
