case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case289_d0_C0_DEFAULT_N2048_q4_rep4,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,4,80,0,PASS,11547.042,11437.617,11801.417,11547.042,11437.617,11801.417,11553.202,11443.857,11807.817,11563.441,11453.936,11818.217,14332.888,14227.682,14588.938,2767.527,2752.964,2784.329,14338.328,14233.281,14594.218
case290_d0_C0_DEFAULT_N2048_q4_rep5,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,5,80,0,PASS,11537.753,11364.803,11786.060,11537.753,11364.803,11786.060,11543.992,11370.882,11792.139,11554.311,11380.961,11802.378,14323.756,14152.191,14557.900,2769.289,2756.646,2785.768,14329.355,14157.950,14563.340
case291_ds_C0_DEFAULT_N2048_q4_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,1,80,0,PASS,7526.287,7426.122,7676.922,10076.582,9938.574,10238.082,10908.253,10753.957,11099.188,7531.727,7431.562,7682.363,10831.364,10684.677,10981.614,3344.458,3294.448,3396.020,10909.292,10755.077,11101.107
case292_ds_C0_DEFAULT_N2048_q4_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,2,80,0,PASS,7533.675,7435.298,9152.059,10051.028,9929.205,11634.120,10878.586,10747.026,12470.811,7539.118,7440.741,9157.662,10808.715,10681.077,12405.021,3331.158,3291.220,3414.954,10879.547,10748.308,12471.772
case293_ds_C0_DEFAULT_N2048_q4_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,3,80,0,PASS,7577.786,7475.844,7658.707,10099.700,10003.545,10191.872,10929.986,10825.252,11035.980,7583.306,7481.445,7664.307,10863.756,10752.904,10965.091,3332.106,3282.471,3405.718,10932.380,10827.812,11036.939
case294_ds_C0_DEFAULT_N2048_q4_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,4,80,0,PASS,7543.669,7413.663,8092.840,10077.203,9930.979,12079.963,10912.038,10756.855,12878.479,7549.189,7419.103,8098.601,10837.801,10689.339,12805.362,3338.052,3289.894,3482.685,10913.648,10758.135,12880.237
case295_ds_C0_DEFAULT_N2048_q4_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,5,80,0,PASS,7525.910,7429.502,9232.762,10035.044,9899.781,13576.197,10862.119,10707.878,14380.793,7531.350,7435.101,9238.360,10794.193,10640.700,14316.637,3311.973,3262.857,5936.946,10863.319,10708.839,14382.073
case296_d1_C0_DEFAULT_N2048_q4_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,1,80,0,PASS,7578.468,7382.944,7672.863,10106.490,9927.441,10451.574,10928.196,10730.438,11254.729,7584.068,7388.384,7678.462,10853.170,10663.241,11188.813,3345.894,3290.374,3450.685,10929.564,10731.557,11255.688
case297_d1_C0_DEFAULT_N2048_q4_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,2,80,0,PASS,7539.189,7469.341,7659.743,10074.492,9987.296,10189.205,10905.006,10800.833,11045.479,7544.788,7474.940,7665.183,10836.290,10734.616,10977.962,3332.296,3279.975,3398.208,10906.286,10804.033,11046.600
case298_d1_C0_DEFAULT_N2048_q4_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,3,80,0,PASS,7554.949,7376.866,9250.058,10089.433,9907.444,12163.316,10913.788,10724.038,12986.311,7560.469,7382.306,9255.657,10845.870,10656.202,12918.794,3347.412,3295.494,3889.389,10914.907,10725.318,12987.431
