case_id,path,candidate,N,q,rep,slice_index,t_release_med_us,t_gemm_start_med_us,t_gemm_end_med_us,t_gemm_duration_med_us
case036_d1_C0_DEFAULT_N512_q8_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,1,4,11160.4,11166.3,11417.6,251.0
case036_d1_C0_DEFAULT_N512_q8_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,1,5,13257.6,13263.6,13527.5,249.8
case036_d1_C0_DEFAULT_N512_q8_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,1,6,15630.3,15636.0,15892.8,250.5
case036_d1_C0_DEFAULT_N512_q8_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,1,7,17192.6,17198.1,17441.7,244.1
case037_d1_C0_DEFAULT_N512_q8_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,2,0,1072.0,1077.5,1339.6,261.3
case037_d1_C0_DEFAULT_N512_q8_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,2,1,2282.3,2287.7,2543.6,247.8
case037_d1_C0_DEFAULT_N512_q8_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,2,2,3979.7,3985.3,4231.7,248.1
case037_d1_C0_DEFAULT_N512_q8_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,2,3,8241.8,8247.5,8497.2,245.8
case037_d1_C0_DEFAULT_N512_q8_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,2,4,11509.0,11514.7,11754.6,246.4
case037_d1_C0_DEFAULT_N512_q8_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,2,5,13679.3,13684.8,13926.2,245.9
case037_d1_C0_DEFAULT_N512_q8_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,2,6,15936.5,15942.3,16186.9,246.3
case037_d1_C0_DEFAULT_N512_q8_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,2,7,17383.6,17389.2,17644.3,244.1
case038_d1_C0_DEFAULT_N512_q8_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,3,0,1070.7,1076.2,1337.5,259.5
case038_d1_C0_DEFAULT_N512_q8_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,3,1,2278.2,2284.1,2533.6,247.7
case038_d1_C0_DEFAULT_N512_q8_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,3,2,4245.7,4251.3,4498.9,248.0
case038_d1_C0_DEFAULT_N512_q8_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,3,3,8250.6,8256.7,8515.7,247.3
case038_d1_C0_DEFAULT_N512_q8_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,3,4,13093.3,13098.9,13356.3,247.3
case038_d1_C0_DEFAULT_N512_q8_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,3,5,14823.1,14828.6,15122.6,248.7
case038_d1_C0_DEFAULT_N512_q8_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,3,6,16057.7,16063.6,16309.6,247.5
case038_d1_C0_DEFAULT_N512_q8_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,3,7,17322.2,17327.6,17565.0,243.8
case039_d1_C0_DEFAULT_N512_q8_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,4,0,1073.8,1079.6,1339.9,261.3
case039_d1_C0_DEFAULT_N512_q8_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,4,1,2275.2,2280.7,2532.5,252.7
case039_d1_C0_DEFAULT_N512_q8_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,4,2,3483.6,3489.5,3737.4,251.8
case039_d1_C0_DEFAULT_N512_q8_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,4,3,6622.2,6628.0,6875.4,251.8
case039_d1_C0_DEFAULT_N512_q8_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,4,4,10276.1,10281.7,10530.2,250.7
case039_d1_C0_DEFAULT_N512_q8_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,4,5,14088.3,14093.9,14334.1,248.8
case039_d1_C0_DEFAULT_N512_q8_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,4,6,15648.5,15654.7,15904.4,249.8
case039_d1_C0_DEFAULT_N512_q8_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,4,7,16911.2,16916.7,17165.5,244.1
case040_d1_C0_DEFAULT_N512_q8_rep5,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,5,0,1070.9,1076.5,1345.6,260.9
case040_d1_C0_DEFAULT_N512_q8_rep5,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,5,1,2282.6,2288.0,2535.9,246.4
case040_d1_C0_DEFAULT_N512_q8_rep5,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,5,2,3490.5,3496.0,3746.9,247.8
case040_d1_C0_DEFAULT_N512_q8_rep5,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,5,3,8781.8,8787.3,9034.0,246.9
case040_d1_C0_DEFAULT_N512_q8_rep5,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,5,4,11822.1,11827.7,12068.1,247.7
case040_d1_C0_DEFAULT_N512_q8_rep5,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,8,5,5,13683.2,13688.8,13933.9,245.9
