path,candidate,M,N,K,q,sample_count,pass_count,fail_count,e2e_mean_us,e2e_p50_us,e2e_p05_us,e2e_p95_us,e2e_std_us,e2e_cv_percent,t_done_mean_us,release_first_mean_us,release_last_mean_us,gemm_interval_mean_us,gemm_tflops_mean,notes
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,128,2048,4,50,50,0,4034.589180,4031.853500,4026.653450,4053.244000,7.797375,0.193263,4029.117440,1011.408700,4023.636100,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,128,2048,8,50,50,0,4206.701280,4206.084000,4197.116000,4220.043450,6.851173,0.162863,4201.210380,538.225800,4195.738720,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,2048,2048,1,50,50,0,3915.755440,3916.500000,3894.686000,3939.787000,15.297357,0.390662,3910.242280,3904.745120,3904.745120,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,2048,2048,2,50,50,0,4054.540500,3966.657000,3961.753550,3989.927450,426.694462,10.523867,4049.036860,2027.195360,4043.526780,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,2048,2048,4,50,50,0,4129.554720,4039.620000,4035.937900,4062.588350,434.040507,10.510589,4124.042540,1060.724140,4118.539880,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,2048,2048,8,50,50,0,4270.231640,4214.963500,4205.028550,4285.174450,321.597710,7.531154,4264.721560,584.024940,4259.217800,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,512,2048,1,50,50,0,3958.649340,3912.664500,3895.632400,3931.971000,333.226587,8.417684,3953.126400,3947.619440,3947.619440,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,512,2048,2,50,50,0,3973.378200,3965.377500,3954.414300,4027.094350,27.019886,0.680023,3967.852140,1984.557980,3962.325980,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,512,2048,4,50,50,0,4037.467060,4034.333000,4028.557000,4050.743600,16.479987,0.408176,4031.979320,1012.852860,4026.462780,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C1_RING_SIMPLE_CH4,2048,512,2048,8,50,50,0,4206.151560,4203.365000,4199.181100,4217.035000,12.840618,0.305282,4200.638520,533.938120,4195.128260,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
